ObjectID,Accession Number,Object Number,Sort Number,Department,Classification,Acquisition Method,Object Status,Artist/Maker,Title,Object Name (Ctrl + Insert),Dated,Materials / Techniques,Dimensions,Description,Credit Line (Ctrl + Insert),Culture (Ctrl + Insert),Period/Dynasty (Ctrl + Insert),eMuseum Label Text
15267,1948.202,,1948   202,Asian Art,Ceramics,Gift,Permanent Collection,Chinese,Tomb Figurinine,tomb figure,early 6th century,Terracotta with traces of paint,Overall: 11 1/2 × 2 9/16 × 1 1/4 in. (29.2 × 6.5 × 3.2 cm),Elongated figure with hands joined at the waist. Back flat. Modeling indicated by incised lines. Some traces of color.,Gift of Robert Somerville,Chinese,Northern Wei Dynasty (386 - 535),"Like the earlier and better-known Terracotta Army of the First Emperor with its thousands of life-sized clay sculptures, tomb figurines were usually made in sets. This tomb figurine wears a formal robe and a small hat that would have indicated his status as a court official or attendant. He would have been joined by other figures, possibly soldiers for protection, singers and dancers for entertainment, and servants. Because of the large numbers required, these works were often mass-produced with molds, with finer details like the facial features and lines of folds in the robes carefully carved into the wet clay."
12733,1948.287,,1948   287,Asian Art,Sculpture,Purchase,Permanent Collection,Cambodian,Dancing Apsara,sculpture,13th century,Limestone,"Overall: 25 1/2 × 20 1/4 × 1 7/8 in. (64.8 × 51.4 × 4.8 cm)
Base: 2 × 21 × 1/2 in. (5.1 × 53.3 × 1.3 cm)","Low relief of female dancer with three-coned headdress, left arm and knee bent, right arm raised. Framed by serpentine band with simple floral decoration. Some traces of red coloring.",R. T. Miller Jr. Fund,Cambodian,Angkor Period (802 - 1431),"This relief sculpture of a dancing female deity was created during the last major phase of the Khmer civilization, which flourished between the 9th and 15th centuries in the area of modern Cambodia, Laos, and much of Thailand. A powerful and sophisticated civilization, the Khmer empire erected some of the largest and most spectacular temple complexes in world history, including Angkor Wat and the Bayon. This relief may once have decorated one of the many smaller temples built throughout their territory. This figure is an apsara, a type of beautiful female spirit known for grace and elegance who serves and entertains the gods in Hindu and Buddhist texts. Although the specific origin of this sculpture is unknown, the style of the figure and her triple-pointed headdress suggest a date of the late 12th to 13th centuries, during the last great Khmer building campaigns of King Jayavarman VII and his successors. 
<br><br>
The AMAM acquired this work in 1948 from the prominent art dealer C.T. Loo (Lú Qínzhāi 盧芹齋, 1880–1957), during a time when many historical works were removed from their original cultures and contexts to end up in museums in the West, a practice that today inspires questions and debates about cultural property. The AMAM acknowledges the problematic history of this work and is committed to open dialogue about its proper display and care.
"
12860,1948.288,,1948   288,Asian Art,Sculpture,Purchase,Permanent Collection,Chinese,Seated Bodhisattva,sculpture,6th century,Oolitic limestone,Overall: 23 1/2 × 13 1/2 × 4 in. (59.7 × 34.3 × 10.2 cm),"A contemplative seated figure in a relaxed pose with head resting on the left hand, ankles crossed above a lotus bud.",R. T. Miller Jr. Fund in memory of Dr. W. Frederick Bohn,Chinese,Northern Wei Dynasty (386 - 535),"This image of a bodhisattva sitting casually in a cross-legged position was once a shallow-relief wall carving gracing a cave temple in the famous Longmen grotto complex in China’s Henan province. The bodhisattva is in a pose referred to as pensive or contemplative, with fingers lightly touching a cheek and the head tilted as if lost in thought. The elongated figure and stylized pattern of drapery folds, which cascade over the edge of the seat, are both characteristic of Buddhist art of the Wei dynasties that ruled northern China in the 4th through 6th centuries. The Wei rulers sponsored the creation of spectacular cave shrines, with complex sculptural programs carved from the living rock.
<br><br>
The AMAM acquired this work in 1948 from the prominent art dealer C.T. Loo (Lú Qínzhāi 盧芹齋, 1880–1957), during a time when many historical works were removed from their original cultures and contexts to end up in museums in the West, a practice that today inspires questions and debates about cultural property. The AMAM acknowledges the problematic history of this work and is committed to open dialogue about its proper display and care."
13211,1948.290,,1948   290,Asian Art,Metalwork,Purchase,Permanent Collection,Chinese,Ritual Wine Vessel (Jue),libation cup,14th–12th century BCE,Bronze with bright green patina,Overall: 9 5/8 × 6 11/16 × 4 1/8 in. (24.4 × 17 × 10.5 cm),Assymetrical flared lip springing from animal head in center of front. Handle at back. Three legs tapering towards bottom. Bright green patina.,R. T. Miller Jr. Fund in memory of  W. F. Bohn,Chinese,Shang Dynasty (c. 1600 - 1100 BC),"Bronze ritual vessels from the Shang-dynasty culture of ancient China (ca. 1600-1050 BC) rank among the most glorious achievements in the history of Chinese art and are essential to understanding the development of Chinese civilization as a whole. This rare bronze wine vessel from the middle of the Shang period was originally part of a larger set  that was used in ancestor veneration ceremonies. The Shang believed that the spirits of their ancestors acted as intermediaries between the human world and the deities and other forces that controlled the natural world. As long as the ancestral spirits were properly remembered and honored with regular offerings of food and drink, the cosmic order could be maintained. Many Shang bronzes are inscribed with the names of particular ancestors or events that needed to be commemorated. The interior wall of this example is inscribed with two characters <I>tian ding</I> (天丁 in their modern forms), meaning ""Ancestor Ding.""   (The second chracter is abraded and barely visible)
<br><br>
This vessel form (traditionally pronounced <I>jué</I>, although the character today is more commonly pronounced <I>jiǎo</I>) was used to heat and serve wine in religious rituals. Its tripod shape allowed it to be placed into hot embers to heat the wine, which then could be poured into bronze drinking vessels using either spout. Note the head of a bat-like creature in relief where the spouts meet on the front, an animal mask design just below, and an inverted triangular cicada motif on each spout."
11745,1948.294,,1948   294,European Art,Sculpture,Purchase,Permanent Collection,Tilman Riemenschneider,Bust of St. Urban,sculpture,ca. 1500,Stained linden wood,Overall: 21 3/4 × 13 × 7 in. (55.2 × 33 × 17.8 cm),,R. T. Miller Jr. Fund,German,,"Saint Urban, who reigned as Pope Urban I from 222 to 230, is shown here in his requisite garments of cope, tasseled hood, and three-crowned papal tiara. The grapes atop his book indicate his role as the patron saint of vineyards, and this likeness, finished in the round, may have been used in processions through vineyards-many of which surround the city of Würzburg where the sculptor Tilman Riemenschneider worked and where he owned many vineyards himself. As Urban's feast day (May 25) coincides with the time of year when grapes reach a critical stage in their growth, he was a natural choice to act as heavenly mediator for a good harvest later in the year. Originally the figure would have held a staff in his right hand. The lozenge-shaped clasp that joins the sides of his cope is inset with a four-leaved floral design; this was carved separately and set into the lozenge compartment. 
<br><br>
This is the only figure of a pope sculpted by Riemenschneider, who was one of the best-known Gothic sculptors of southern Germany. He produced wooden carvings- both figures in the round and reliefs-for numerous altarpieces, as well as stone sculptures for church exteriors, and the funerary monument for the Prince-Bishops Rudolf von Scherenberg and Lorenz von Bibra in Würzburg's cathedral. He enjoyed great status in that city until 1524-25, when he sided with the peasants in a revolt; he was imprisoned and probably tortured. Although released, he produced no works of great importance after that time. 
"
5887,1948.296,,1948   296,European Art,Paintings,Purchase,Permanent Collection,Claude Monet,"Garden of the Princess, Louvre",painting,1867,Oil on canvas,"Overall: 36 1/8 × 24 3/8 in. (91.8 × 61.9 cm)
Frame: 45 5/8 × 34 1/8 × 4 9/16 in. (115.9 × 86.7 × 11.6 cm)",,R. T. Miller Jr. Fund,French,,"Claude Monet, one of the founders of Impressionism (which takes its name from his 1872 painting <I>Impression, Sunrise</I>), grew up on the Normandy coast, known for its rapidly changing skies. Sunlight, clouds, and the mutability of the weather were to dominate Monet's works. Known for paintings created <I>en plein air</I>, or outdoors, Monet worked throughout his life in Normandy, in and around Paris, and in the south of France, as well as in London, Holland, and Venice. In the 1880s, he began to spend time at Giverny, near Paris, where he created many works celebrating his water-lily pond.
<br><br>
Oberlin's painting, along with two other horizontal works in The Hague and Berlin, was painted by Monet in spring 1867, from windows at the Louvre. On April 27, the artist had asked for a special authorization to paint ""views of Paris from the windows of the Louvre,"" and on May 20, he wrote the artist Frédéric Bazille that he and Renoir were still busy on their city views. His earliest images of Paris, they were painted shortly after the opening of the city's World's Fair in April and attest to its importance as a growing metropolis. Rather than copy the masterpieces inside the museum, as had generations of artists before him, Monet turned the opposite direction, toward the city itself. The work is evidence of his diverse and inspired early period, presenting a sweeping view of Paris in an unusual vertical composition that shows a slice of the city toward the southeast, through atmospheric clouds; the oblique viewpoint may have been inspired by Japanese prints the artist would have seen at the World's Fair. 
<br><br>
The dome of the Pantheon appears in the center distance, flanked by the church of St. Etienne-du-Mont and the dome of the Sorbonne. The Ile de la Cité is in the middle ground, separated from the Right Bank by the Seine, of which a small part is visible at right, under the French flag. The foreground, painted in brilliant green, shows the Garden of the Princess (<I>Jardin de l'Infante</I>), named for a Spanish princess who was briefly engaged to Louis XV in 1722, and whose apartments under the Galerie d'Apollon looked out over the garden. Human figures-so prominent in Monet's works to this point-are reduced to daubs of paint, signifying their movement on foot and in horse-drawn carriages through the transitional spaces of the grand boulevards flanking the Louvre and Seine. 
<br><br>
The painting was purchased from the artist by pianist Charles Wilfried de Beriot around 1873; in a later letter, in which Beriot asked Monet for an updated value for the work, the musician noted that he felt that Monet had a soft spot (<I>un faible</I>) for it, as Monet had valued it at double all his other paintings (1000 francs), at the time of Beriot's purchase.




"
7990,1948.297,,1948   297,Modern and Contemporary Art,Paintings,Purchase,Permanent Collection,Georges Braque,Blue Guitar,painting,1943,Oil on canvas,"Overall: 27 15/16 × 20 11/16 in. (71 × 52.5 cm)
Frame: 36 3/8 × 29 × 3 1/4 in. (92.4 × 73.7 × 8.3 cm)",,R. T. Miller Jr. Fund,French,,"Georges Braque, along with Picasso, was one of the originators of Cubism, a style of painting that celebrated the flatness of the painting's support and dissolved solid forms-often of everyday objects, or landscapes-into planes of relatively somber, complementary colors, sometimes accompanied with enigmatic lettering and wood-grain effects. 
<br><br>
This still life of a guitar on a table, accompanied by a pitcher and bunch of grapes, was exhibited in the Salon d'Automne exhibition in Paris shortly after it was painted. It was singled out for praise in London's Sunday <I>Times</I> in 1960 by art critic John Russell, writing about works in US college and university museums that had no parallel for quality in their counterpart museums in England. The painting displays the dark tonality that characterized Braque's works made during the German occupation of Paris during the Second World War, with small passages of brighter yellow and peach colors. The layered and textured surfaces are typical of the artist's work at this time. 
<br><br>
The painting was purchased by the AMAM from Theodore Schempp, an Oberlin College graduate of 1928, who became a dealer of important French and modern European works of art in the early 1930s. The first painting he ever sold, a <I>Bust of a Woman</I> by André Derain, was purchased by the AMAM in 1933. 
"
10612,1948.305,,1948   305,Asian Art,Ceramics,Gift,Permanent Collection,Chinese,Tomb Figurine of an Equestrian Hunter,tomb figure,8th century,Glazed and painted earthenware,Overall: 13 1/2 × 4 1/2 × 15 in. (34.3 × 11.4 × 38.1 cm),"Painted earthenware with glazes in black, white, green, and yellow-tan. Rider holding black and white dog. Rider in green robe. Mottled green and white saddle cloth. Yellow-tan horse. Right ear of horse chipped.",Gift of C. T. Loo,Chinese,Tang Dynasty (618 - 906),"One aspect of elite life in the Tang Dynasty (618–906 CE) that was often immortalized in tomb figurines is entertainment, and horse-riding activities like hunting and a form of polo were popular forms of recreation for elite men and women. Bows and spears were typical hunting weapons, but trained dogs, hawks, and cheetahs were also employed. Instead of a hunting partner, this rider carries a masked palm civet (<i>Paguma larvata</i>)—probably a rare pet. He wears a <i>fānlǐngpáo</i> 翻领袍, a knee-length robe with overturned lapels, a widely popular style introduced from Central Asia.<br>
<br>
Tomb sculptures of this type were made from molded sections, attached with clay slip and dried, after which glaze was applied. The colorful glaze on this piece, known as the “three color” (sāncǎi 三彩) glaze, is particularly associated with the Tang period, and the high point of production occurred from the late 7th to mid-8th centuries. Adding lead oxide to the glaze allowed firing at the relatively low temperature of ca. 1500° F. Iron created the yellowish color of the horse, and copper the green sections. Some areas, like the figure’s head, were left unglazed to allow more naturalistic colors to be painted on after firing."
6374,1948.310,,1948   310,European Art,Sculpture,Purchase,Permanent Collection,English,Chessman: Knight,sculpture,ca. 1120-40,Ivory with traces of gilding and color,Overall: 2 3/16 × 1 11/16 × 1 3/4 in. (5.5 × 4.3 × 4.5 cm),"Knight with drawn sword on either side, dragon over top biting manacled man in front. Traces of gold on base, remains of pearls in eyes.",R. T. Miller Jr. Fund,English,,"This chess piece depicts the legend of Saint George and the dragon that rapidly gained popularity in Byzantine and Western Christian traditions via the Crusades in the 12th century. The sword-wielding knight slaying a dragon represents an allegory of good versus evil.<br>
<br>
Many medieval artworks, such as this one, were once colorful and have since faded over time. Here most of the gilding is gone, and only remnants of red remain as evidence that the piece was once decorated. To distinguish the opposing sides of chess, one set of pieces would be stained red while the other was left uncolored."
9660,1948.321,,1948   321,European Art,Paintings,Purchase,Permanent Collection,Joos de Momper,Mountainous Landscape,painting,ca. 1615,Oil on panel,"Overall: 19 11/16 × 36 9/16 in. (50 × 92.9 cm)
Frame: 27 5/8 × 44 7/16 × 2 1/2 in. (70.2 × 112.9 × 6.4 cm)",,R. T. Miller Jr. Fund,Flemish,,"The early twentieth-century ""rediscovery"" of the Antwerp-born painter, Joos de Momper, introduced a landscape artist of great romantic fantasy who stood at the beginning of many pictorial developments later realized in Flemish landscape painting.  It is unclear if de Momper actually traveled to Italy and based his compositions on actual observations of the Alps, as did many of his compatriots.  The same landscape motif appears in several other paintings by the artist (or his workshop), including works in Chicago and Dresden."
7308,1949.6,,1949     6,European Art,Metalwork,Gift,Permanent Collection,Spanish,Baldachin,sculpture,1637,Hammered silver over wood and gold plate,Overall: 102 × 48 × 48 in. (259.1 × 121.9 × 121.9 cm),,Gift of Haig M. Prince,Spanish,,"According to an inscription on the outer face of the dome, this baldachin, or processional canopy, was made for the Convent of Santa Clara at Carmona, Spain, in 1637. A second inscription on the base indicates that the canopy was altered or repaired more than a century later, in 1747. These later modifications, done in a more florid, decorative style, include the underside of the canopy, the capitals of the supports, and the crown which surmounts the dome."
7523,1949.13,,1949    13,European Art,Drawings / Watercolors,Purchase,Permanent Collection,Thomas Rowlandson,Quae Genus with a Spendthrift,drawing,1821,Pen and brown ink with pink and green watercolor on paper,Image/Sheet: 4 7/16 × 7 5/16 in. (11.3 × 18.6 cm),,R. T. Miller Jr. Fund,English,,"This is either a preparatory drawing for, or a variant drawing after, an aquatint published in the book The History of Johnny Quae Genus, the little Foundling of the late Doctor Syntax, by William Combe, in London in 1822.  The book was written particularly to accompany caricatures by Rowlandson.
"
16134,1949.14,,1949    14,European Art,Drawings / Watercolors,Purchase,Permanent Collection,Giovanni Battista Tiepolo,Sketch for a Figure in a Ceiling Decoration,drawing,1740s,Pen and black ink with brush and gray wash on laid paper,Sheet: 9 15/16 × 7 1/2 in. (25.2 × 19.1 cm),"A turbaned figure holding a staff, seen from below",R. T. Miller Jr. Fund,Italian,,"This drawing is one of many from a sketchbook Tiepolo made as a repertory of poses of figures, often on clouds, seen in steep perspective from below.  Tiepolo was clearly fascinated by the challenge of depicting foreshortened figures, many of which populate the dramatic ceiling frescos for which he is best known."
10394,1949.18,,1949    18,European Art,Prints,Purchase,Permanent Collection,Master M. Z.,St. Christopher,engraving,ca. 1503,Engraving,Image/Sheet: 7 3/8 × 5 1/16 in. (18.7 × 12.9 cm),,R. T. Miller Jr. Fund,German,,"This print depicts St. Christopher, whose story was popularized in Jacobus de Voragine's Golden Legend.  While living in the vicinity of a river, St. Christopher spent his time transporting travelers from one side of the water to the other. One night, when transporting a child across the river, the water became violent and the child on his back became increasingly heavier. After reaching the opposite side, the child revealed that he was Christ. This representation of the saint show him in the middle of this legendary river, with the mysterious child on his back."
15865,1949.33,,1949    33,Modern and Contemporary Art,Drawings / Watercolors,Gift,Permanent Collection,Walter Hale,"The Battlefields of Artois from Notre Dame de Lorette, 5:30 p.m. July 8",drawing,1915,Lithographic crayon on paper,"Image: 12 3/8 × 17 5/16 in. (31.4 × 44 cm)
Sheet: 13 × 17 7/8 in. (33 × 45.4 cm)
Mount: 14 1/2 × 19 1/4 in. (36.8 × 48.9 cm)",,Gift of Mrs. Orton K. Stark,American,,"This drawing was made by an American correspondent of Century Magazine sent to France to record the First World War. Hale was positioned in Arras, Soissons, and Verdun when these towns were bombed and witnessed the ensuing destruction. His drawings are records of specific moments and places; on each he wrote the date and time, emphasizing the documentary aspect of his work. Although death is always present, Hale focuses here on the bleak, war-torn landscape of Northern France rather than the loss of human life; he meticulously labeled each battlefield on the horizon."
10830,1949.80,,1949    80,Modern and Contemporary Art,Drawings / Watercolors,Purchase,Permanent Collection,Pablo Picasso,Woman with a Fan,drawing,1905,Pen and black ink on paper,Overall: 12 7/8 × 8 7/8 in. (32.7 × 22.5 cm),"Young woman seated in profile, hands on her lap, closed fan in left hand.",Charles F. Olney Fund,Spanish,,"Made during Picasso's ""rose"" period, this is most likely a study for an oil painting of the same title and year. The sketch and painting, however, are remarkably different. Here a dancer sits in profile, her arms resting heavily on her lap, and her left hand lazily holding a fan. Her back curves outward and her eyelids droop. In the painting she is more dramatic and dynamic; she no longer sits and her hand is raised."
1568,1949.81,,1949    81,European Art,Paintings,Purchase,Permanent Collection,Maerten van Heemskerck,Samson Slaying the Philistines,painting,ca. 1547,Oil on oak panel,"Overall: 18 7/16 × 6 5/16 in. (46.8 × 16 cm)
Frame: 22 × 10 × 1 11/16 in. (55.9 × 25.4 × 4.3 cm)","Monochrome painting of Samson slaying Philistines with the jawbone of an ass. Panel dominated by Samson, enemies indicated in two heads at the left and the head and fallen man below.",Charles F. Olney Fund,Dutch,,"These two works (AMAM 1949.81 & 82) are part of a series of twelve panels that were kept together until just after 1946, when they were sold from the collection of the Earl of Kinnaird at Rossie Priory in Scotland. Four are in the Rijksmuseum (<I>Samson conquering the lion, Samson destroying the temple, Hercules and Nessus</I>, and <I>Neptune</I>), four are in the Yale University Art Gallery (<I>Hercules carrying the column of heaven, Hercules and Antaeus, Hercules and the Hydra</I>, and <I>Saturn</I>), and two were sold at auction at Sotheby's London in 2008 (<I>Samson grasping the gates of Gaza</I> and <I>Pluto</I>). 
<br><br>
The eminent art historian Erwin Panofsky studied the series and established a parallel between the classical hero Hercules and the Old Testament figure Samson; according to him, the AMAM Samson panel is paired with the Hercules and Antaeus example at Yale. Panofsky also suggested that the Herculean scenes can be read in terms of the Four Elements, wherein the Oberlin and Yale panels represent Earth (as Hercules defeats Antaeus by lifting him from the ground). Wolfgang Stechow suggested the four gods (Neptune, Pluto, Saturn, and Jupiter) can also be read this way, in which Oberlin's Jupiter (as supreme god and often depicted, as here, with an eagle) represents Air. Other scholars have noted that while in the sixteenth century, artists often linked ancient gods with Hercules, and Hercules with Samson, this is the only known instance in which all three are linked together. 
<br><br>
The original function of the panels remains unclear, although given their narrow shape it has been suggested that they may have served as door surrounds or possibly as panels in a scholar's study. Van Heemskerck spent 1532-36 in Rome, and as Stechow noted, ""the memory of Roman sarcophagi is very vivid"" in these works- and the use of the all-brown technique (<I>brunaille</I>) specifically helps to create the illusion that the works are sculptural. Because of this, Stechow had dated them to around 1535. However, a recent study of the wood of the twelve panels confirms that of the four different trees used, the latest was felled in 1545 at the earliest and was ready for use in 1547. 
"
14946,1949.82,,1949    82,European Art,Paintings,Purchase,Permanent Collection,Maerten van Heemskerck,Jupiter,painting,ca. 1547,Oil on oak panel,"Overall: 18 3/8 × 5 13/16 in. (46.7 × 14.7 cm)
Frame: 22 × 9 7/16 × 1 5/8 in. (55.9 × 24 × 4.1 cm)",A nude male wrestling with an eagle; mythology;,Charles F. Olney Fund,Dutch,,"These two works (AMAM 1949.81 & 82) are part of a series of twelve panels that were kept together until just after 1946, when they were sold from the collection of the Earl of Kinnaird at Rossie Priory in Scotland. Four are in the Rijksmuseum (Samson conquering the lion, Samson destroying the temple, Hercules and Nessus, and Neptune), four are in the Yale University Art Gallery (Hercules carrying the column of heaven, Hercules and Antaeus, Hercules and the Hydra, and Saturn), and two were sold at auction at Sotheby's London in 2008 (Samson grasping the gates of Gaza and Pluto). 
<br><br>
The eminent art historian Erwin Panofsky studied the series and established a parallel between the classical hero Hercules and the Old Testament figure Samson; according to him, the AMAM Samson panel is paired with the Hercules and Antaeus example at Yale. Panofsky also suggested that the Herculean scenes can be read in terms of the Four Elements, wherein the Oberlin and Yale panels represent Earth (as Hercules defeats Antaeus by lifting him from the ground). Wolfgang Stechow suggested the four gods (Neptune, Pluto, Saturn, and Jupiter) can also be read this way, in which Oberlin's Jupiter (as supreme god and often depicted, as here, with an eagle) represents Air. Other scholars have noted that while in the sixteenth century, artists often linked ancient gods with Hercules, and Hercules with Samson, this is the only known instance in which all three are linked together. 
<br><br>
The original function of the panels remains unclear, although given their narrow shape it has been suggested that they may have served as door surrounds or possibly as panels in a scholar's study. Van Heemskerck spent 1532-36 in Rome, and as Stechow noted, ""the memory of Roman sarcophagi is very vivid"" in these works- and the use of the all-brown technique (brunaille) specifically helps to create the illusion that the works are sculptural. Because of this, Stechow had dated them to around 1535. However, a recent study of the wood of the twelve panels confirms that of the four different trees used, the latest was felled in 1545 at the earliest and was ready for use in 1547. 
"
9673,1949.89,,1949    89,European Art,Paintings,Purchase,Permanent Collection,German,Portrait of a Young Man,painting,1515–20,Oil on spruce panel,"Overall: 13 1/4 × 9 1/2 in. (33.7 × 24.1 cm)
Frame: 19 1/2 × 16 3/16 × 1 15/16 in. (49.5 × 41.1 × 4.9 cm)","Bust of a young man in a fur hat facing right, against green brocade background",Mrs. F. F. Prentiss Fund,German,,"This portrait has been attributed to two artists, Martin Schaffner and Hans Burgkmair, and its origin in Augsburg is very probable.  The artist's treatment of the brocaded background which dates back to Durer's Elsbeth Tucher of 1499,  is a comparatively rare feature, though it can also be found in portraits by Schaffner.  What does stand out as a distinguishing feature is the parallel pen hatchings on the front side of the face."
5171,1949.93,,1949    93,Asian Art,Furnishings,Gift,Permanent Collection,Korean,Lamp Stand,lamp stand,19th century,Painted wood,Overall: 32 × 7 1/2 × 9 in. (81.3 × 19 × 22.8 cm),"In the form of a dragon standing on a turtle. Has adjustable platform to hold an oil lamp which can be raised or lowered on the spikes of the dragon's spine. Painted green, red, and yellow.",Gift of Dr. A. I. Ludlow,Korean,Choson Dynasty (1392 - 1910),"This lamp stand was created for use in a traditional Korean interior, where people sit on carpets and cushions on the floor. It has an adjustable platform for a small oil lamp. If the user were working at a low desk, the lamp could be raised. If they reclined or were seated, perhaps doing embroidery or reading, it could be lowered.<br>
<br>
The anonymous artisan who created the stand made the upright section in the shape of a dragon. Cleverly adapting form to function, the dragon’s ridged back and scaly belly create notched sections to support the lamp platform as it is adjusted up or down. The heavy base of the lamp is in the form of a mythical dragon-turtle, a symbol of longevity. On its back is a three-colored taegeuk (태극; 太極) motif, more familiar in its two-colored form as a symbol of the Chinese principles of yin and yang. Here, however, the three colors represent heaven, earth and humanity."
362,1949.104A-B,,1949   104A    B,Asian Art,Ceramics,Gift,Permanent Collection,Korean,Melon-form Wine Pot,teapot,12th–13th centuries,Glazed stoneware,Overall: 8 × 8 1/4 × 6 in. (20.3 × 21 × 15.2 cm),"Mortuary pottery in form of a melon. Incised floral design on sides. Flaws in glaze, near handle.",Gift of Dr.  A. I. Ludlow,Korean,Koryo Period (918 - 1392),"The celadon glaze was first produced in China around the ninth or tenth century and must have reached Korea not long afterward. It quickly gained popularity there and became the dominant style of ceramic in Korea during the Goryeo dynasty (918-1392). Early Goryeo celadons mostly imitated Chinese prototypes, but by the eleventh century, Korean potters were already developing their own distinctive forms and decorative motifs. One important innovation was the creation of new forms based on natural shapes, such as the melon shape of this wine pot. Korean potters also devised a new way of decorating celadons with designs that were laid into the bodies of the vessels beneath the glaze using black and white clay slips. By the early twelfth century, Goryeo celadons had reached such a high state of development that they even impressed a visiting Chinese envoy, who wrote that the Korean wares compared favorably with celadons produced in China. The Korean celadon industry was badly disrupted by the Mongol invasion in the thirteenth century and never regained its former level of excellence as tastes shifted to new styles of stoneware and porcelain in the fourteenth and fifteenth centuries. 
<br><br>
This melon-form pot would most likely have been used to serve warm rice wine. Its lid was probably originally attached to its handle by a silver or bronze chain. Fine examples of Korean celadon have long been prized by collectors. This wine pot is one of seventeen pieces of Goryeo celadon that were donated to the AMAM in 1949 by a Cleveland resident who acquired the pieces while serving in Korea as a doctor during the early decades of the twentieth century.  
"
14776,1949.237,,1949   237,European Art,Prints,Gift,Permanent Collection,Camille Pissarro,La Femme aux Poules,woodcut,second half 19th century,Woodcut,"Image: 5 3/16 × 2 13/16 in. (13.2 × 7.1 cm)
Sheet: 9 7/16 × 5 13/16 in. (24 × 14.8 cm)","Wood engraving after a drawing by Camille Pissarro by his son Lucien. Part of the 4 inset engravings of ""Les Peintres Impressionnistes"" by Théodore Duret published in 1923 (the other 3 by Renoir, Morisot and Guillaumin).",Gift of the Oberlin College Art Library,French,,"Working in the second half of the 19th century, Camille Pissarro sought through his art to capture the timeless beauty of the French countryside. As advances in industry and technology proliferated across Europe, Pissarro’s rural scenes were seen as nostalgic, if not sentimental, odes to the working class. His depictions of agrarian farm life idealized labor, while still posing an alternative to the rapid urbanization of the day. In this scene, a peasant woman feeds a small group of chickens pecking around her feet. Narrowly framed and simplistically drawn, the act of feeding reads as a caring and intimate gesture. Labor is represented as being in harmony with and inherent to nature; the chickens are dependent upon the woman, as she is dependent upon them."
8364,1950.3,,1950     3,European Art,Paintings,Purchase,Permanent Collection,Paul Cézanne,Viaduct at L'Estaque,painting,1882,Oil on canvas,"Overall: 18 5/16 × 21 7/8 in. (46.5 × 55.6 cm)
Frame: 26 1/8 × 29 1/2 × 4 in. (66.4 × 74.9 × 10.2 cm)",Paul Cezanne,R. T. Miller Jr. and Mrs. F. F. Prentiss Funds,French,,"Paul Cézanne's many paintings of the French fishing village of L'Estaque, just west of Marseilles, explore the beauty of the Mediterranean landscape. Sometimes he depicted the brilliant blue of the sea, while at other times-as here-he turned his back on it to focus on the harsh, rocky terrain of the landscape. 
<br><br>
The immediacy of <I>Viaduct at L'Estaque</I> relates not only to its dense surfaces, built up by the artist with palette knife and brush, but also to the specificity of its location. The railway viaduct, the distinctive evergreen situated on top of the rocky incline at the right, and the two intersecting vertical slopes that suggest the path a train must take through the landscape- all of these are intriguing visual clues that inspired Oberlin College professor of art Ellen Johnson to seek out the site in person. In her memoirs, Johnson described her adventurous quest to determine exactly where and when the painting was made: 

<blockquote> Approaching L'Estaque from the north was like driving right through the back of Cézanne's painting and when I saw it from out at sea, that part of the mountain he had painted was right there in every single contour. Even now, after forty years, I still tingle to remember-more than that-to experience once again the shock of joy at that first recognition.</blockquote>

Johnson's sleuthing also connected Oberlin's Cézanne painting with an 1882 canvas by Renoir, <I>Rocky Crags at L'Estaque</I>, (Museum of Fine Arts, Boston). In January of that year, on his return from Italy, Renoir stopped at L'Estaque, where he ran into his friend Cézanne. As described in letters he wrote to friends in Paris, the two artists went out painting together. Renoir's more distant view shows that they were working near the railway viaduct, thus providing a firm date for the Oberlin picture. 
<br><br>
When this intensely compressed landscape, almost square in format, was acquired by the AMAM in 1950, it marked a turning point in the museum's ability to teach Oberlin students in the fields of Post-Impressionism and Cubism. The addition of this single painting served as a key link to help students understand more fully Cézanne's explorations of the tension between ordinary vision and the correspondence of shapes; at the same time, the painting revealed the seminal impact that Cézanne's work had on artists like Picasso and Georges Braque as they pioneered a new kind of pictorial space. The museum already had significant holdings by Picasso, including <I>Glass of Absinthe</I>, a Cubist work of 1911 and Braque's <I>Blue Guitar</I> of 1943.
"
3457,1950.8,,1950     8,Modern and Contemporary Art,Prints,Purchase,Permanent Collection,Karl Schmidt-Rottluff,Sunrise over the Fiord (Flensburg Fiord),woodcut,1915,Woodcut,"Image: 12 11/16 × 14 15/16 in. (32.2 × 37.9 cm)
Sheet: 13 3/4 × 18 3/4 in. (34.9 × 47.6 cm)",,Charles F. Olney Fund,German,,"Sunrise over the Fiord depicts a visionary landscape, comprised of varied, abstracted shapes that define the hills and sky. Schmidt-Rottluff's mastery of the medium is demonstrated here, especially in the complex gradation of line to denote depth, perspective, and form. The importance of the artist's German heritage-evidenced by the addition of his native town, Rottluff, to his name-can be seen in this impassioned rendering of the small town of Flensburg. Located in the northern German state of Schleswig-Holstein, Flensburg is situated at the innermost tip of the Flensburg Fjord, an inlet of the Baltic Sea."
